id,hip,hd,hr,gl,main_id,full_name,proper,ra,dec,rarad,decrad,dist,x,y,z,vx,vy,vz,pmra,pmdec,pmrarad,pmdecrad,spect,lum_class,mag,absmag,ci,radius,mass,temp,type,lifespan,comp,comp_primary,sibling,compdist,dist_au,inner_ohz,outer_ohz,inner_chz,outer_chz,bayer,flam,con,gaia,2mass,tyc,ccdm,wds,ads,tic,nltt,plx,fk5,iras,gcrv,web,old_bgs_id,rv,mag_V,mag_B,mag_J,mag_H,mag_K,primary_band,ci_type,lum
62328,62523,111395,4864,486.1,HD 111395,Ixyll,,192.19603393615247,24.840227400606107,3.3544536014606177,0.43354375508468906,17.098167418416097,-15.166097468927754,-3.2779274698688567,7.182757696974615,-9238.439416121551,25775.467873816968,-7765.018099910966,-334.908,-105.517,-1.6236798031303246e-06,-5.11560851896349e-07,G5V,V,6.980000019073486,5.815252193054008,0.4780001640319824,1.2582910552088826,0.817475566088916,4206.399803161621,Main sequence,16.550573537859613,,62328,,0.0,3526750.1855151174,0.5613436929680106,1.6038391227657447,1.1160047229244974,0.6348529860947739,,,,3957887649746830976,J12484706+2450250,1990-3779-1,,,,160010717,31976,2945.00,3021,12462+2506,7674,11098,,-8.965,,6.980000019073486,5.123000144958496,4.704999923706055,4.644999980926514,B,J-K,0.44657984925590166
61748,61941,110379,4825,482 A,* gam Vir,Porrima,Porrima,190.41511762006294,-1.4494039524575002,3.3233707480423673,-0.025296871161802736,12.02016984499991,-11.818340723140004,-2.1722949099825883,-0.30404025799140755,-6335.932361721581,33896.77621482412,4882.288898355057,-605.176,85.701,-2.9339760427914455e-06,4.154901728476834e-07,F1-F2V,V,2.740000009536743,2.340446988081217,0.3599998950958252,2.0891267418252704,1.778096393944827,7100.6683644758405,Main sequence,2.371983955277998,,61748,,0.0,2479338.0011659563,2.655766500374062,7.587904286783035,5.279916732886528,3.003545446851618,gam,,Vir,3683687763520080384,J12413962-0126580,4949-1120-1,J12417-0127A,J12417-0127A,8630 A,51735845,31564,2924,,12390-0110,7623,11013,,-19.8,2.740000009536743,3.0999999046325684,2.0899999141693115,1.9299999475479126,1.8799999952316284,V,B-V,9.995883934961867
60805,,108799A,,9409 A,HD 108799A,Marduk,,187.51989333596998,-13.39319004646,3.2728395517012494,-0.23375526365605934,24.29572759630219,-23.43169385109926,-3.0931179886860156,-5.627674813823535,-2769.758811016603,30503.91445389464,-5238.873889071678,-265.722,-46.756,-1.288256609717881e-06,-2.2667948473957464e-07,G0.1,,6.489999771118164,4.56235022297929,0.6100001335144043,1.0771326153085021,1.0660190794605393,5928.662279892813,,8.522903196687631,,60805,,0.0,5011353.5392801175,0.9545732093300723,2.7273520266573494,1.8977824518824056,1.0795768438852007,,,,3528362362908431616,,5533-1791-1,J12301-1324A,J12301-1324A,8573 A,,,,,,,,,1.26,6.489999771118164,7.099999904632568,,,,V,B-V,1.2913974092555474
59020,59199,105452,4623,9389,* alf Crv,Alchiba,Alchiba,182.10340531836871,-24.728875596671113,3.1783040018992867,-0.4316002994779882,14.976875703913159,-13.594292461265514,-0.4992891268846962,-6.26519981292046,1438.0429120663794,-6836.872720066861,-2582.1259405111077,96.976,-40.023,4.701529153927836e-07,-1.940369795904696e-07,F1V,V,4.010000228881836,3.132894101339266,0.31999969482421875,1.3583984664182445,1.4815304768579205,7337.081124302865,Main sequence,3.7430318735292554,,59020,,0.0,3089202.361553761,1.8437433452414398,5.267838129261257,3.6655373649442913,2.0851859261659142,alf,,Crv,3489338019475637760,J12082481-2443440,6672-995-1,,,,421189312,,2796.00,,C12058-2426,7276,10532,,2.8,4.010000228881836,4.329999923706055,3.5250000953674316,3.364000082015991,3.306999921798706,V,B-V,4.817728915989365
58401,58576,104304,4587,454,HD 104304,Nirvana,,180.1852506163712,-10.44612975486889,3.1448258867868195,-0.1823193583130103,12.765539171695226,-12.55389512234012,-0.04058981190085156,-2.3145323649800247,5304.647710745113,-5053.579807735886,-28685.034836129795,83.793,-482.006,4.062399278121135e-07,-2.3368310317688296e-06,G8IV,IV,5.550000190734863,5.01980437770217,0.7699999809265137,1.0624080644761278,0.9594438474421917,5372.7941961698025,Subgiant,11.090499189543564,,58401,,0.0,2633081.4607351166,0.7732472969715276,2.209277991347222,1.5372892689791084,0.8745058715749419,,,,3575733210781078016,J12004444-1026452,5521-1366-1,,J12007-1028A,,152738837,29280,2767.00,,11581-1009,7221,10453,,0.28,5.550000190734863,6.320000171661377,4.28000020980835,3.9100000858306885,3.869999885559082,V,B-V,0.8473800769186136
57767,57939,103095,4550,451,HD 103095,Groombridge,,178.2448639115646,37.718681698090286,3.110959750026021,0.6583151851434013,9.171821230198038,-7.251727866951363,0.2222109904974196,5.611182575722754,-159931.53208738737,-169211.39423052876,-200150.0063892304,4002.655,-5817.8,1.9405419047614898e-05,-2.8205490339590585e-05,K1V_Fe-1.5,,6.449999809265137,6.637721903166185,0.75,0.5401663747165415,0.6921939668684338,5436.136574148009,Main sequence,25.08594557941119,,57767,,0.0,1891823.9267134797,0.4024712897260091,1.1499179706457403,0.8001512545743277,0.45517586338060556,,,,4034171629042489088,J11525880+3743060,3014-574-1,,,,309599261,28839,2745.00,1307,,7170,10381,,-98.008,6.449999809265137,7.199999809265137,4.936999797821045,4.5,4.373000144958496,V,B-V,0.22956794083576695
57584,57757,102870,4540,449,* bet Vir,Lantana,Zavijava,177.67382714942332,1.7647226497586115,3.100993278376728,0.030800220622806487,11.001765783408239,-10.987486152631583,0.4463303300507806,0.33880323962185355,-2007.2484686955681,-38582.84983633362,-14122.96349854411,740.746,-270.927,3.591237950271643e-06,-1.3134911618196325e-06,F9V,V,3.5999999046325684,3.3926879295478862,0.5500001907348633,1.7040303292475487,1.3955043900253676,6170.478867816242,Main sequence,4.34682326067639,,57584,,0.0,2269277.0849721385,1.6358433021672614,4.673838006192176,3.252212279308722,1.8500608774510694,bet,,Vir,3796442680947600768,J11504173+0145528,273-924-1,J11507+0146A,J11507+0146A,,366661076,28736,2739.00,445,11481+0202,7160,10364,,4.455,3.5999999046325684,4.150000095367432,2.630000114440918,2.36299991607666,2.3299999237060547,V,B-V,3.7924933521052866
57459,57632,102647,4534,448,* bet Leo,Denebola,Denebola,177.26490975591017,14.572058064829658,3.0938563234912504,0.25433039202307084,10.99989000109999,-10.633917793499968,0.5080101459265247,2.767543692341645,-264.14941491472064,25993.56431473908,-5787.130872190195,-497.68,-114.67,-2.4128207281459385e-06,-5.559358481283049e-07,A3Va,,2.130000114440918,1.9230584032653146,0.08999991416931152,1.6808598207113936,2.0497182109674537,9125.459334985155,Main sequence,1.6625112806869482,,57459,,0.0,2268890.1770982295,3.5291295852721594,10.083227386491883,7.016245723100602,3.991277507153037,bet,,Leo,,J11490366+1434197,870-988-1,J11490+1433A,J11491+1434A,8314 A,14725877,28642,2738.00,444,11464+1451,7151,10349,,-0.2,2.130000114440918,2.2200000286102295,1.850000023841858,1.9249999523162842,1.899999976158142,V,B-V,17.651297661059022
118771,,102365B,,442 B,HD 102365B,Beta Tirna,,176.63620781421082,-40.49655687533528,3.082883404594915,-0.7067982531957475,9.308932758786003,-7.066735056706419,0.41536003537418736,-6.045242822826034,,,,-1534.679,381.396,-7.440333753115016e-06,1.8490599872045259e-06,M4V,V,15.430000305175781,15.585500838796648,7.469000339508057,0.015569862102367726,0.10850504118054459,5019.19253529818,Main sequence,2578.547937266162,,57270,57270,0.018686,1920105.20955804,0.00988960892773701,0.028256025507820026,0.0196614844158581,0.011184676763512093,,,,5381537023379295744,J11463269-4029476,,,J11467-4029B,,454082373,28513,,,,,,,,15.430000305175781,,8.755000114440918,8.229999542236328,7.960999965667725,V,V-K,0.00013861162803794721
57270,57443,102365,4523,442 A,HD 102365,Alpha Tirna,,176.62946888804873,-40.50035718532611,3.082765788145338,-0.7068645811176839,9.31945604198974,-7.074273947293594,0.41663807845525225,-6.052546715953815,-7587.396640040117,68200.21633139325,13536.812929251008,-1530.971,403.287,-7.4223568618194734e-06,1.955190550136214e-06,G2V,V,4.880000114440918,5.033047293473842,0.6700000762939453,0.9361191919458773,0.9565226770494932,5706.318634763023,Main sequence,11.175367747847657,,57270,118771,0.018686,1922275.7925265417,0.7685459306363404,2.1958455161038297,1.5279425049555815,0.8691888501244326,,,,5381537023379295232,J11463107-4030013,7745-1381-1,J11465-4030A,J11467-4029A,,454082369,28512,2725,,11440-4013,7133,10319,,16.947,4.880000114440918,5.550000190734863,3.740000009536743,3.369999885559082,3.309999942779541,V,B-V,0.837107210172447
56828,56997,101501,4496,434,*  61 UMa,Kumasi,,175.262567794255,34.20163377929139,3.0589088635095254,0.5969311190099464,9.576232556892398,-7.893104327529323,0.6541231225195114,5.382866986932625,-9642.651506178267,1369.5083002461547,-14315.027001345328,-12.522,-381.196,-6.070836914853609e-08,-1.8480903598423067e-06,G8V,V,5.340000152587891,5.434026731182624,0.7399997711181641,0.84747168873633,0.8721623339556623,5468.409762103408,Main sequence,14.076888892978927,,56828,,0.0,1975239.7505582946,0.6389603948876301,1.825601128250372,1.2703141184075504,0.7226337799324388,,,,4025850731201819392,J11410301+3412064,2525-2445-1,J11411+3412A,J11411+3412A,,101641846,28222,2699.00,1300,,7092,10258,,-5.18,5.340000152587891,6.079999923706055,4.010000228881836,3.609999895095825,3.5880000591278076,V,B-V,0.5786144929633734
119222,55203B,98230,4374,423 D,* ksi UMa B,Ursae Minoris,,169.54515004808545,31.529117136365,2.9591210991269135,0.5502869042765353,8.734639045408768,-7.321580413258376,1.3510078750114614,4.567620521390509,-10380.529884592292,16205.918469581577,-21463.05457254798,-339.398,-607.892,-1.6454479374121428e-06,-2.9471435823703804e-06,G2V,V,4.769999980926514,5.063775167489276,0.6399998664855957,0.8887225212529994,0.9497788257584192,5815.2141520103805,Main sequence,11.374800590806561,B,118742,118742,0.000118,1801648.6281812647,0.757747047001595,2.1649915628617,1.5064732958245994,0.8569758269660895,,,,756853643637996160,,2520-2634-2,J11182+3132B,"J11182+3132Ba,Bb",8119 B,,26921,,,,6921,9946,119222,-15.9,4.769999980926514,5.409999847412109,,,,V,B-V,0.8137479977886017
118742,55203A,98231,4375,423 C,* ksi UMa A,Ursae Majoris,,169.54542151666666,31.52916086111111,2.9591258371474716,0.5502876674173194,,,,,,,,-453.7,-591.4,-2.1995996711939645e-06,-2.8671881100817955e-06,F8.5:V,V,4.25,,0.5399999618530273,,,6212.866181081854,Main sequence,4.469946076237917,A,118742,119222,0.000118,,,,,,,,,756853643638639104,,2520-2634-1,J11182+3132A,J11182+3132A,8119 A,,26920,,,,6920,9947,,-26.78,4.25,4.789999961853027,,,,V,B-V,
