id,mod,hip,hd,hr,gl,bf,proper,ra,dec,dist,pmra,pmdec,rv,mag,absmag,spect,ci,x,y,z,vx,vy,vz,rarad,decrad,pmrarad,pmdecrad,bayer,flam,con,comp,comp_primary,base,lum,var,var_min,var_max,radius,mass,comp,compdist,AU dist,Temp,type,Outer OHZ,Inner OHZ,Outer CHZ,Inner CHZ,Special,Luminosity Class,System Location ID
70096,,70319,126053,5384,Gl 547,,Hyla,14.387579,1.241569,17.191,223.660004,-477.480011,-18.9,6.25,5.073,G1,0.639,-13.937186,-10.056877,0.372487,0.00002588,-0.00000431,-0.0000402,3.766659,0.021669,1.08E-06,-2.31E-06,,0,Vir,1,70096,,0.814329,,0,0,1.03,1.05,0,0,0,5915,,1.58,0.67,1.5,0.85,,,
71453,,71681,128621,5460,Gl 559B,Alp2Cen,Toliman,14.660346,-60.838299,1.3248,-3678.189941,481.839996,-26.200001,1.35,5.739,K1,0.9,-0.495181,-0.413973,-1.156674,-0.00000722,0.00002476,0.00002491,3.83807,-1.061829,-1.78E-05,2.34E-06,Alp-2,0,Cen,2,71456,Gl 559,0.440961,,0,0,0.828,0.762,71456,0.000123,25.435051,5035,,1.25,0.52,1.19,0.66,,,
71456,,71683,128620,5459,Gl 559A,Alp1Cen,Alpha Centauri,14.660765,-60.833977,1.3248,-3678.189941,481.839996,-26.200001,-0.01,4.379,G2,0.71,-0.495203,-0.414084,-1.156625,-0.00000722,0.00002476,0.00002491,3.838179,-1.061753,-1.78E-05,2.34E-06,Alp-1,0,Cen,1,71456,Gl 559,1.543121,,0.113,-0.087,1,1,71453,0.000123,25.435051,5830,,2.19,0.93,2.08,1.18,,,
71517,,71743,128987,0,,,Kang,14.675308,-16.20929,23.6798,-111.940002,-65.209999,0,7.24,5.368,G6,0.71,-17.385588,-14.655385,-6.610141,-0.00000668,0.00001117,-0.00000719,3.841987,-0.282905,-5.43E-07,-3.16E-07,,0,Lib,1,71517,,0.620583,KU,7.256,7.226,0.914,0.9,0,0,0,5490,,1.43,0.6,1.36,0.76,Ellipitical orbit,VI,
71731,,71957,129502,5487,Wo 9491,107Mu  Vir,Heinlein,14.717673,-5.658207,18.2715,104.230003,-319.899994,4.7,3.87,2.561,F2,0.385,-13.771311,-11.872446,-1.801463,0.00000452,-0.00000829,-0.00002867,3.853078,-0.098754,5.05E-07,-1.55E-06,Mu,107,Vir,1,71731,,8.233794,,0,0,1.26,1.54,0,0,0,7170,,4.56,1.99,4.36,2.52,Inclined lunar orbits that cross,V a & b,
72341,,72567,130948,5534,Gl 564,,Freya,14.837723,23.911844,18.1719,144.729996,32.419998,-2.7,5.86,4.563,G2,0.576,-12.234877,-11.237106,7.365617,0.00001134,-0.0000069,0.00000149,3.884507,0.41734,7.02E-07,1.57E-07,,0,Boo,1,72341,,1.302567,HP,5.876,5.846,1,1,0,0,0,5830,,2.01,0.85,1.91,1.08,,,
72377,,72603,130819,5530,Gl 563.4,8Alp1Lib,Foucault,14.844773,-15.997237,22.9779,-135.929993,-59.470001,-23.5,5.15,3.343,F3,0.401,-16.240129,-14.971057,-6.332445,0.00000807,0.00002803,0.00000026,3.886353,-0.279204,-6.59E-07,-2.88E-07,Alp-1,8,Lib,1,72377,,4.006822,,0,0,1.24,1.46,0,0,0,7005,,3.23,1.4,3.06,1.77,Equatorial ocean,V-b,
72407,,72634,131023,0,NN 3868A,,Strix,14.850643,9.723673,29.4377,-216.259995,57.799999,-35.599998,7.4,5.055,K0,0.76,-21.30267,-19.698633,4.971874,0.00000642,0.00004797,0.00000198,3.887889,0.16971,-1.05E-06,2.80E-07,,0,Boo,1,72407,NN 3868,0.827942,,0,0,0.85,0.78,0,0,0,5200,,1.69,0.71,1.61,0.89,,,
72432,,72659,131156,5544,Gl 566A,37Xi  Boo,Cheyenne,14.856493,19.10046,6.7123,152.809998,-71.279999,2.2,4.54,5.406,G8,0.72,-4.650321,-4.313397,2.196442,0.00000127,-0.00000561,-0.00000146,3.889421,0.333366,7.41E-07,-3.46E-07,Xi,37,Boo,1,72432,Gl 566,0.599239,Xi,4.57,4.52,0.882,0.84,118988,0.012462,2570.413574,5320,,1.42,0.6,1.35,0.76,,,
72717,,72944,,,Gl 569A,,Sagan,14.90812,16.101062,9.6534,275.95,-122.11,-8.4,10.11,10.187,M2,1.5,-6.714014,-6.398547,2.67718,0.00001374,-0.00000475,-0.00000787,3.90293657,0.281016544,1.33784E-06,-5.92006E-07,,0,Boo,1,72717,Gl 569,0.007331621,CE,10.15,10.02,0.506,0.366,0,0,0,3420,,0.12,0.05,0.12,0.06,,,
72955,,73182,131976,0,Gl 570B,,Aranae,14.957361,-21.41152,5.9252,987.049988,-1666.810059,27.9,8.01,9.146,K5,1.519,-3.944034,-3.856974,-2.163168,0.00001332,-0.00002663,-0.00005499,3.915828,-0.373702,4.79E-06,-8.08E-06,,0,Lib,2,72957,Gl 570,0.019125,,0,0,0.74,0.69,72957,0.084791,17489.3125,4375,,0.28,0.11,0.26,0.14,,,
72957,,73184,131977,5568,Gl 570A,,Olympus,14.957765,-21.415476,5.8404,1034.180054,-1725.599976,29.1,5.72,6.888,K4,1.024,-3.887091,-3.802093,-2.13259,0.00001342,-0.00002784,-0.00005635,3.915934,-0.373771,5.01E-06,-8.37E-06,,0,Lib,1,72957,Gl 570,0.153038,KX,5.733,5.683,0.762,0.708,72955,0.084791,17489.3125,4540,,0.77,0.31,0.73,0.4,Extreme axial tilt,II,
73018,,73245,132307,0,,,Bohr,14.969688,6.90496,35.026299,-167.779999,94.510002,0,8.15,5.428,G5,0.78,-24.78204,-24.391802,4.210959,-0.00001861,0.00002166,0.00001593,3.919055,0.120514,-8.13E-07,4.58E-07,,0,Vir,1,73018,,0.587219,,0,0,0.93,0.93,0,0,0,5575,,1.38,0.58,1.31,0.74,,,
73082,,73309,132375,5583,,,Huygens,14.981329,-4.989256,33.7724,-358.549988,-107.529999,-29,6.08,3.437,F8,0.509,-23.906033,-23.673452,-2.937127,-0.00001922,0.00006358,-0.00001496,3.922103,-0.087079,-1.74E-06,-5.21E-07,,0,Lib,1,73082,,3.674515,,0,0,1.11,1.18,0,0,0,6180,,3.27,1.4,3.11,1.78,Variable star,,
73489,,73717,133352,0,,,Hawking,15.068596,-6.887361,33.025101,-212.490005,-10.78,0,7.72,5.126,G5,0.752,-22.763699,-23.596342,-3.960299,-0.00002434,0.00002377,-0.00000171,3.944949,-0.120207,-1.03E-06,-5.23E-08,,0,Lib,1,73489,,0.775532,,0,0,0.93,0.93,0,0,0,5575,,1.58,0.67,1.5,0.85,,,
73788,,74016,134066,0,,,Fermi,15.125819,9.226035,31.5557,-191.419998,24.719999,-34.5,6.72,4.225,G5,0.68,-21.287098,-22.737766,5.059267,0.00000284,0.00004588,-0.00000192,3.95993,0.161025,-9.28E-07,1.20E-07,,0,Boo,1,73788,,1.778279,,0,0,0.93,0.93,0,0,0,5575,,2.4,1.01,2.28,1.28,High inclination,IV,
74309,,74537,135204,,Gl 580A,,Ophion,15.230804,-1.351387,17.671,-1269.65,-503.15,-69.2,6.58,5.344,K0,0.763,-11.71425,-13.222898,-0.416737,-0.00003383,0.00012584,-0.00004142,3.987415205,-0.023586159,-6.15544E-06,-2.43934E-06,,0,Ser,1,74309,Gl 580,0.634453796,,0,0,0.85,0.78,0,0,0,5200,,1.56,0.65,1.48,0.82,,,
74746,,74975,136202,5694,,5    Ser,Maal,15.321888,1.765408,25.380699,373.23999,-513.640015,54,5.04,3.017,F8,0.54,-16.365124,-19.384937,0.781926,-0.00000178,-0.00007329,-0.00006146,4.011261,0.030812,1.81E-06,-2.49E-06,,5,Ser,1,74746,,5.410034,MQ,5.05,5.03,1.11,1.18,0,0,0,6180,,3.97,1.7,3.77,2.16,All Plains,IV,
74766,ArkCentral,74995,,,GL 581,,Ark Central,14.671041,12.813993,234.7418,-44.96,-75.28,0,10.78,3.927,G0,0.747,-175.175599,-147.331965,52.062595,-0.00004747,0.00002693,-0.00008353,3.840869591,0.223646364,-2.18E-07,-3.65E-07,,,Boo,1,71495,,2.339914561,,10.837,10.707,,,,,,,,,,,,,,
75150,,75379,137052,5723,,31Eps Lib,Archimedes,15.403303,-10.322266,31.230499,-68.519997,-152.649994,-10,4.92,2.447,F5,0.453,-19.315191,-23.894489,-5.596007,0.00000086,0.00001757,-0.0000209,4.032575,-0.180158,-3.32E-07,-7.40E-07,Eps,31,Lib,1,75150,,9.145343,,0,0,1.2,1.3,0,0,0,6675,,4.98,2.15,4.72,2.73,,,
75489,,75718,137763,0,Gl 586A,,Gamma Vulpes,15.469336,-9.348069,20.5846,72.690002,-363.369995,8.2,6.89,5.322,K2,0.788,-12.493698,-16.014261,-3.343604,0.00000425,-0.00000634,-0.00003714,4.049863,-0.163155,3.52E-07,-1.76E-06,,0,Lib,1,75489,Gl 586,0.647441,,0,0,0.806,0.744,75493,0.092946,19171.56055,4870,,1.54,0.63,1.46,0.8,Equatorial mountains,II-a,
75493,,75722,137778,0,Gl 586B,,Delta Vulpes,15.470058,-9.35786,20.4918,81.529999,-355.850006,8,7.57,6.012,K2,0.868,-12.434009,-15.943968,-3.331985,0.00000496,-0.00000681,-0.00003621,4.050052,-0.163325,3.95E-07,-1.73E-06,,0,Lib,2,75489,Gl 586,0.342926,,0,0,0.806,0.744,75489,0.092946,19171.56055,4870,,1.12,0.46,1.06,0.58,,,
